--reflectionSetting,--handleStaticInit,--useConstantSpecificKeys,--cgalgo,--sensitivity,--handleZeroLengthArray,--useLexicalScopingForGlobals,--useStacksForLexcialScoping
APPLICATION_GET_METHOD,FALSE,FALSE,ZERO_CFA,2,FALSE,FALSE,TRUE
NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,TRUE,TRUE,RTA,1,TRUE,TRUE,FALSE
MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,FALSE,FALSE,ZEROONE_CFA,1,TRUE,TRUE,TRUE
NO_METHOD_INVOKE,FALSE,FALSE,VANILLA_NOBJ,1,FALSE,TRUE,FALSE
NO_FLOW_TO_CASTS,TRUE,FALSE,VANILLA_ZEROONECFA,2,TRUE,TRUE,TRUE
ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,TRUE,TRUE,VANILLA_NCFA,2,FALSE,FALSE,FALSE
ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,FALSE,TRUE,VANILLA_ZEROONE_CONTAINER_CFA,2,FALSE,TRUE,FALSE
NO_STRING_CONSTANTS,FALSE,TRUE,NCFA,2,TRUE,TRUE,TRUE
NONE,FALSE,TRUE,ZEROONE_CONTAINER_CFA,1,FALSE,TRUE,TRUE
STRING_ONLY,FALSE,FALSE,ZEROONE_CFA,1,FALSE,TRUE,FALSE
