analysis,cs-library,no-merge-library-objects,no-merges,data-flow-goto-lib,data-flow-only-lib,heapdl-nostrings,only-precise-native-strings,distinguish-reflection-only-string-constants,distinguish-string-buffers-per-package,reflection,reflection-classic,reflection-high-soundness-mode,Xgenerics-pre,Xreflection-coloring,Xreflection-context-sensitivity
1-call-site-sensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1-call-site-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1-object-1-type-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1-object-sensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1-type-sensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1-type-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2-call-site-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2-call-site-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2-object-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2-type-object-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2-type-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2-type-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
3-object-sensitive+3-heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
3-type-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
3-type-sensitive+3-heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
adaptive-2-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
basic-only,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
context-insensitive-plus,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
context-insensitive-plusplus,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
data-flow,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
dependency-analysis,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
fully-guided-context-sensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
micro,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
partitioned-2-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
selective-2-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
sound-may-point-to,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
sticky-2-object-sensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
context-insensitive,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
context-insensitive,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false
context-insensitive,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
context-insensitive,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
context-insensitive,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
context-insensitive,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false
context-insensitive,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false
context-insensitive,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
context-insensitive,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
context-insensitive,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
context-insensitive,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
context-insensitive,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
context-insensitive,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false
context-insensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
context-insensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
context-insensitive,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
