analysis,reflection,handleStaticInit,useConstantSpecificKeys,handleZeroLengthArray,useLexicalScopingForGlobals,useStacksForLexicalScoping
0cfa,FULL,true,false,true,false,false
VANILLA_ZEROONE_CONTAINER_CFA,FULL,true,false,true,false,false
1cfa,APPLICATION_GET_METHOD,true,false,true,false,false
2cfa,APPLICATION_GET_METHOD,true,false,true,false,false
1obj,APPLICATION_GET_METHOD,true,false,true,false,false
2obj,APPLICATION_GET_METHOD,true,false,true,false,false
rta,APPLICATION_GET_METHOD,true,false,true,false,false
VANILLA_1cfa,APPLICATION_GET_METHOD,true,false,true,false,false
VANILLA_2cfa,APPLICATION_GET_METHOD,true,false,true,false,false
VANILLA_1obj,APPLICATION_GET_METHOD,true,false,true,false,false
VANILLA_2obj,APPLICATION_GET_METHOD,true,false,true,false,false
ZEROONE_CFA,APPLICATION_GET_METHOD,true,false,true,false,false
VANILLA_ZEROONECFA,APPLICATION_GET_METHOD,true,false,true,false,false
ZEROONE_CONTAINER_CFA,APPLICATION_GET_METHOD,true,false,true,false,false
VANILLA_ZEROONE_CONTAINER_CFA,APPLICATION_GET_METHOD,true,false,true,false,false
ZERO_CONTAINER_CFA,APPLICATION_GET_METHOD,true,false,true,false,false
1cfa,STRING_ONLY,true,false,true,false,false
2cfa,STRING_ONLY,true,false,true,false,false
1obj,STRING_ONLY,true,false,true,false,false
2obj,STRING_ONLY,true,false,true,false,false
rta,STRING_ONLY,true,false,true,false,false
VANILLA_1cfa,STRING_ONLY,true,false,true,false,false
VANILLA_2cfa,STRING_ONLY,true,false,true,false,false
VANILLA_1obj,STRING_ONLY,true,false,true,false,false
VANILLA_2obj,STRING_ONLY,true,false,true,false,false
ZEROONE_CFA,STRING_ONLY,true,false,true,false,false
VANILLA_ZEROONECFA,STRING_ONLY,true,false,true,false,false
ZEROONE_CONTAINER_CFA,STRING_ONLY,true,false,true,false,false
VANILLA_ZEROONE_CONTAINER_CFA,STRING_ONLY,true,false,true,false,false
ZERO_CONTAINER_CFA,STRING_ONLY,true,false,true,false,false
